source,destination,port,protocol,source_port,direction,process,count,first_seen,last_seen,host
10.70.70.86,10.70.70.6,443,tcp,52168,outbound,patchmon-agent,32,2026-08-26T21:59:53Z,2026-08-26T22:02:23Z,LNS-AGENTTST-LXC-001
10.70.70.86,10.70.70.77,22,tcp,42254,outbound,,20,2026-08-26T22:01:43Z,2026-08-26T22:02:23Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,22,tcp,*,listen,sshd,16,2026-08-26T21:59:53Z,2026-08-26T22:02:23Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,2375,tcp,*,listen,dockerd,16,2026-08-26T21:59:53Z,2026-08-26T22:02:23Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,8000,tcp,*,listen,docker-proxy,16,2026-08-26T21:59:53Z,2026-08-26T22:02:23Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,9130,tcp,*,listen,python3,16,2026-08-26T21:59:53Z,2026-08-26T22:02:23Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,9443,tcp,*,listen,docker-proxy,16,2026-08-26T21:59:53Z,2026-08-26T22:02:23Z,LNS-AGENTTST-LXC-001
*,::,8000,tcp,*,listen,docker-proxy,16,2026-08-26T21:59:53Z,2026-08-26T22:02:23Z,LNS-AGENTTST-LXC-001
*,::,9443,tcp,*,listen,docker-proxy,16,2026-08-26T21:59:53Z,2026-08-26T22:02:23Z,LNS-AGENTTST-LXC-001
10.30.30.111,10.70.70.86,22,tcp,55654,inbound,sshd-session,7,2026-08-26T21:59:53Z,2026-08-26T22:01:53Z,LNS-AGENTTST-LXC-001
