source,destination,port,protocol,source_port,direction,process,count,first_seen,last_seen,host
10.70.70.86,10.70.70.77,19001,tcp,34426,outbound,python3,330,2026-08-26T22:38:39Z,2026-08-26T22:40:14Z,LNS-AGENTTST-LXC-001
10.70.70.86,10.70.70.6,443,tcp,52168,outbound,patchmon-agent,96,2026-08-26T22:37:54Z,2026-08-26T22:41:49Z,LNS-AGENTTST-LXC-001
10.30.30.111,10.70.70.86,22,tcp,61107,inbound,sshd-session,55,2026-08-26T22:37:54Z,2026-08-26T22:41:49Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,19002,tcp,*,listen,python3,48,2026-08-26T22:37:54Z,2026-08-26T22:41:49Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,22,tcp,*,listen,sshd,48,2026-08-26T22:37:54Z,2026-08-26T22:41:49Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,2375,tcp,*,listen,dockerd,48,2026-08-26T22:37:54Z,2026-08-26T22:41:49Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,8000,tcp,*,listen,docker-proxy,48,2026-08-26T22:37:54Z,2026-08-26T22:41:49Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,9130,tcp,*,listen,python3,48,2026-08-26T22:37:54Z,2026-08-26T22:41:49Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,9443,tcp,*,listen,docker-proxy,48,2026-08-26T22:37:54Z,2026-08-26T22:41:49Z,LNS-AGENTTST-LXC-001
*,::,8000,tcp,*,listen,docker-proxy,48,2026-08-26T22:37:54Z,2026-08-26T22:41:49Z,LNS-AGENTTST-LXC-001
*,::,9443,tcp,*,listen,docker-proxy,48,2026-08-26T22:37:54Z,2026-08-26T22:41:49Z,LNS-AGENTTST-LXC-001
10.70.70.77,10.70.70.86,19002,tcp,59470,inbound,python3,7,2026-08-26T22:39:59Z,2026-08-26T22:40:29Z,LNS-AGENTTST-LXC-001
