source,destination,port,protocol,source_port,direction,process,count,first_seen,last_seen,host
10.70.70.86,10.70.70.77,19126,tcp,60890,outbound,,241,2026-08-26T22:43:02Z,2026-08-26T22:44:02Z,LNS-AGENTTST-LXC-001
10.70.70.86,10.70.70.6,443,tcp,52168,outbound,patchmon-agent,64,2026-08-26T22:42:22Z,2026-08-26T22:44:57Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,19002,tcp,*,listen,python3,32,2026-08-26T22:42:22Z,2026-08-26T22:44:57Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,19220,tcp,*,listen,python3,32,2026-08-26T22:42:22Z,2026-08-26T22:44:57Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,19221,tcp,*,listen,python3,32,2026-08-26T22:42:22Z,2026-08-26T22:44:57Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,19222,tcp,*,listen,python3,32,2026-08-26T22:42:22Z,2026-08-26T22:44:57Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,19223,tcp,*,listen,python3,32,2026-08-26T22:42:22Z,2026-08-26T22:44:57Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,19224,tcp,*,listen,python3,32,2026-08-26T22:42:22Z,2026-08-26T22:44:57Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,19225,tcp,*,listen,python3,32,2026-08-26T22:42:22Z,2026-08-26T22:44:57Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,19226,tcp,*,listen,python3,32,2026-08-26T22:42:22Z,2026-08-26T22:44:57Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,22,tcp,*,listen,sshd,32,2026-08-26T22:42:22Z,2026-08-26T22:44:57Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,2375,tcp,*,listen,dockerd,32,2026-08-26T22:42:22Z,2026-08-26T22:44:57Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,8000,tcp,*,listen,docker-proxy,32,2026-08-26T22:42:22Z,2026-08-26T22:44:57Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,9130,tcp,*,listen,python3,32,2026-08-26T22:42:22Z,2026-08-26T22:44:57Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,9443,tcp,*,listen,docker-proxy,32,2026-08-26T22:42:22Z,2026-08-26T22:44:57Z,LNS-AGENTTST-LXC-001
*,::,8000,tcp,*,listen,docker-proxy,32,2026-08-26T22:42:22Z,2026-08-26T22:44:57Z,LNS-AGENTTST-LXC-001
*,::,9443,tcp,*,listen,docker-proxy,32,2026-08-26T22:42:22Z,2026-08-26T22:44:57Z,LNS-AGENTTST-LXC-001
10.70.70.86,10.70.70.77,19125,tcp,36826,outbound,python3,16,2026-08-26T22:42:47Z,2026-08-26T22:44:02Z,LNS-AGENTTST-LXC-001
10.70.70.86,10.70.70.77,19122,tcp,55950,outbound,python3,13,2026-08-26T22:42:32Z,2026-08-26T22:43:32Z,LNS-AGENTTST-LXC-001
10.70.70.86,10.70.70.77,19123,tcp,42276,outbound,python3,13,2026-08-26T22:42:37Z,2026-08-26T22:43:37Z,LNS-AGENTTST-LXC-001
10.70.70.86,10.70.70.77,19124,tcp,43742,outbound,python3,13,2026-08-26T22:42:42Z,2026-08-26T22:43:42Z,LNS-AGENTTST-LXC-001
10.70.70.86,10.70.70.77,19120,tcp,58998,outbound,,12,2026-08-26T22:42:32Z,2026-08-26T22:43:27Z,LNS-AGENTTST-LXC-001
10.70.70.86,10.70.70.77,19121,tcp,50382,outbound,,12,2026-08-26T22:42:32Z,2026-08-26T22:43:27Z,LNS-AGENTTST-LXC-001
10.30.30.111,10.70.70.86,22,tcp,61665,inbound,sshd-session,9,2026-08-26T22:42:22Z,2026-08-26T22:43:02Z,LNS-AGENTTST-LXC-001
10.70.70.77,10.70.70.86,19225,tcp,34634,inbound,python3,3,2026-08-26T22:44:12Z,2026-08-26T22:44:22Z,LNS-AGENTTST-LXC-001
10.70.70.77,10.70.70.86,19224,tcp,56828,inbound,python3,2,2026-08-26T22:44:02Z,2026-08-26T22:44:07Z,LNS-AGENTTST-LXC-001
10.70.70.77,10.70.70.86,19222,tcp,49286,inbound,python3,1,2026-08-26T22:43:52Z,2026-08-26T22:43:52Z,LNS-AGENTTST-LXC-001
10.70.70.77,10.70.70.86,19223,tcp,60928,inbound,python3,1,2026-08-26T22:43:57Z,2026-08-26T22:43:57Z,LNS-AGENTTST-LXC-001
