source,destination,port,protocol,source_port,direction,process,count,first_seen,last_seen,host
10.70.70.86,10.70.70.6,443,tcp,52168,outbound,,64,2026-08-26T22:48:45Z,2026-08-26T22:51:20Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,19421,udp,*,listen,python3,32,2026-08-26T22:48:45Z,2026-08-26T22:51:20Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,19422,udp,*,listen,python3,32,2026-08-26T22:48:45Z,2026-08-26T22:51:20Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,19423,udp,*,listen,python3,32,2026-08-26T22:48:45Z,2026-08-26T22:51:20Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,19424,udp,*,listen,python3,32,2026-08-26T22:48:45Z,2026-08-26T22:51:20Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,19425,udp,*,listen,python3,32,2026-08-26T22:48:45Z,2026-08-26T22:51:20Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,19426,udp,*,listen,python3,32,2026-08-26T22:48:45Z,2026-08-26T22:51:20Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,19427,udp,*,listen,python3,32,2026-08-26T22:48:45Z,2026-08-26T22:51:20Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,19428,udp,*,listen,python3,32,2026-08-26T22:48:45Z,2026-08-26T22:51:20Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,22,tcp,*,listen,,32,2026-08-26T22:48:45Z,2026-08-26T22:51:20Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,2375,tcp,*,listen,,32,2026-08-26T22:48:45Z,2026-08-26T22:51:20Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,51821,udp,*,listen,,32,2026-08-26T22:48:45Z,2026-08-26T22:51:20Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,8000,tcp,*,listen,,32,2026-08-26T22:48:45Z,2026-08-26T22:51:20Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,9130,tcp,*,listen,,32,2026-08-26T22:48:45Z,2026-08-26T22:51:20Z,LNS-AGENTTST-LXC-001
*,0.0.0.0,9443,tcp,*,listen,,32,2026-08-26T22:48:45Z,2026-08-26T22:51:20Z,LNS-AGENTTST-LXC-001
*,::,51821,udp,*,listen,,32,2026-08-26T22:48:45Z,2026-08-26T22:51:20Z,LNS-AGENTTST-LXC-001
*,::,8000,tcp,*,listen,,32,2026-08-26T22:48:45Z,2026-08-26T22:51:20Z,LNS-AGENTTST-LXC-001
*,::,9443,tcp,*,listen,,32,2026-08-26T22:48:45Z,2026-08-26T22:51:20Z,LNS-AGENTTST-LXC-001
10.30.30.111,10.70.70.86,22,tcp,62505,inbound,,7,2026-08-26T22:48:50Z,2026-08-26T22:49:20Z,LNS-AGENTTST-LXC-001
10.70.70.86,10.70.70.77,19426,udp,41444,outbound,python3,3,2026-08-26T22:49:10Z,2026-08-26T22:49:20Z,LNS-AGENTTST-LXC-001
10.70.70.86,10.70.70.77,19424,udp,53677,outbound,python3,1,2026-08-26T22:48:55Z,2026-08-26T22:48:55Z,LNS-AGENTTST-LXC-001
10.70.70.86,10.70.70.77,19425,udp,49010,outbound,python3,1,2026-08-26T22:49:05Z,2026-08-26T22:49:05Z,LNS-AGENTTST-LXC-001
